lang,rank,k,accuracy,macro_f1
ru,4,10,0.65,0.6519684469532494
ru,4,11,0.6333333333333333,0.6322765957446809
ru,4,12,0.65,0.6500622335890878
ru,4,13,0.6166666666666667,0.6161040189125296
ru,4,14,0.5916666666666667,0.5977858293075684
ru,4,15,0.625,0.6291510191935723
ru,4,16,0.6083333333333333,0.6092349244957942
ru,4,17,0.6166666666666667,0.6191996912240073
ru,4,18,0.6416666666666667,0.6453399850226862
ru,4,19,0.6666666666666666,0.6685344918109088
ru,4,20,0.6666666666666666,0.6707774936061381
ru,4,21,0.65,0.6542387041773232
tr,6,1,0.2833333333333333,0.24688294974009262
tr,6,2,0.45,0.4158800443799988
tr,6,3,0.5666666666666667,0.5316478056815126
tr,6,4,0.5583333333333333,0.5416700666394669
tr,6,5,0.5083333333333333,0.5051653660349313
tr,6,6,0.525,0.5233229824146892
tr,6,7,0.4666666666666667,0.4527029299038666
tr,6,8,0.44166666666666665,0.430858572321987
tr,6,9,0.5,0.49388964474678765
tr,6,10,0.5083333333333333,0.5083116589564867
tr,6,11,0.525,0.5322121885504686
tr,6,12,0.5583333333333333,0.5634796817277635
tr,6,13,0.5833333333333334,0.58887946482941
tr,6,14,0.5833333333333334,0.5873297177026839
tr,6,15,0.5833333333333334,0.5934137165731006
tr,6,16,0.5666666666666667,0.5748865327292709
tr,6,17,0.5666666666666667,0.576285701202717
tr,6,18,0.5583333333333333,0.5649692671394799
tr,6,19,0.5833333333333334,0.5880368147258903
tr,6,20,0.5916666666666667,0.5957651044607566
tr,6,21,0.5916666666666667,0.5962273274698004
zh,3,1,0.44166666666666665,0.43370726618808464
zh,3,2,0.55,0.5430748299319728
zh,3,3,0.6416666666666667,0.6342482025626062
zh,3,4,0.6416666666666667,0.6346312943782164
zh,3,5,0.6333333333333333,0.6296755034702469
zh,3,6,0.6916666666666667,0.6893374741200828
zh,3,7,0.65,0.6460221951961083
zh,3,8,0.7,0.6948663930688556
zh,3,9,0.6916666666666667,0.6927920104211898
zh,3,10,0.6916666666666667,0.6898299686201955
zh,3,11,0.7,0.7001700680272108
