lang,feature,F,p
tr,burstiness,3.0039838521891915,0.021239182579992133
tr,dep_depth,6.535646710063918,8.935534400175579e-05
tr,subord_rate,7.406560198054841,2.412149961849161e-05
tr,func_word_ratio,5.250337622436652,0.0006398977818029774
tr,first_person_rate,2.1122194078176295,0.08373942777674226
tr,para_count,18.653589743589745,7.69009173643207e-12
tr,para_len_mean,6.696832742112169,7.001281020063699e-05
tr,question_rate,1.8322599527418122,0.12736335570518195
tr,connective_rate,14.31299811267647,1.637288160917831e-09
tr,comma_per_1k,0.9730471568856867,0.42516917471771
tr,colon_per_1k,10.044382735287623,5.230264807704979e-07
tr,dash_per_1k,2.9038498561627444,0.024817511257461653
tr,semicolon_per_1k,2.2381760968724547,0.06917814769441495
tr,bigram_entropy,12.386841302094359,2.0710017486269403e-08
tr,digit_rate,5.4491545320192625,0.00047072137977711704
zh,mattr,14.587638820033355,1.1497157763894138e-09
zh,hapax_rate,23.355075559275836,3.791190389186516e-14
zh,mean_token_len,10.323227505271097,3.5310807063233943e-07
zh,zipf_slope,21.884109292136078,1.8996798838884048e-13
zh,sent_len_mean,1.1302319217323762,0.34580937743722295
zh,sent_len_sd,1.4492468281193518,0.22234021085924283
zh,burstiness,0.6811757246250577,0.6063835655081726
zh,dep_depth,2.0473954193620933,0.0923422795881282
zh,subord_rate,1.2277402648670492,0.3029853823693419
zh,func_word_ratio,9.46346763061529,1.1945593243162847e-06
zh,first_person_rate,3.714525910392932,0.007002755536140136
zh,para_count,6.115606936416186,0.00016927876832100987
zh,para_len_mean,1.0578102944190342,0.3807571869216646
zh,question_rate,0.9999999999999991,0.41063314926581485
zh,connective_rate,11.927545343254003,3.8518253689538254e-08
zh,comma_per_1k,18.79545431980858,6.504563862767097e-12
zh,colon_per_1k,1.880153130987126,0.11861740525681735
zh,dash_per_1k,3.106362508207663,0.018108991534968456
zh,semicolon_per_1k,3.0382983045074394,0.020134480173385354
zh,bigram_entropy,39.00533883197757,1.3341295427389235e-20
zh,digit_rate,1.1307585801417095,0.3455651894971499
