translator,lang,rank,feature,spearman_rho,p,eta2_model_before,eta2_model_after
llm,es,2,dash_per_1k,0.7906869008106349,6.608127855785483e-27,0.4046150958374328,0.31044744369292643
llm,es,2,semicolon_per_1k,0.9442798967022363,8.729930704978178e-59,0.4046150958374328,0.31044744369292643
llm,es,2,bigram_entropy,0.5589902076533092,3.2377787237986044e-11,0.4046150958374328,0.31044744369292643
llm,es,2,digit_rate,0.9996746033527074,7.148086883202412e-190,0.4046150958374328,0.31044744369292643
llm,hi,7,mattr,0.19859712480033334,0.029670663036205757,0.40461509583743255,0.32828985876422456
llm,hi,7,hapax_rate,0.79196956727942,4.7889201293602214e-27,0.40461509583743255,0.32828985876422456
llm,hi,7,mean_token_len,0.723591916105285,1.008039192834667e-20,0.40461509583743255,0.32828985876422456
llm,hi,7,zipf_slope,0.7922841864018333,4.423708946535221e-27,0.40461509583743255,0.32828985876422456
llm,hi,7,sent_len_mean,0.8795283442503198,7.2588495779199555e-40,0.40461509583743255,0.32828985876422456
llm,hi,7,sent_len_sd,0.7791096603930827,1.0953540353863042e-25,0.40461509583743255,0.32828985876422456
llm,hi,7,burstiness,0.7747690811861933,3.0057333430567176e-25,0.40461509583743255,0.32828985876422456
llm,hi,7,dep_depth,0.8344311632332874,2.5612063389996697e-32,0.40461509583743255,0.32828985876422456
llm,hi,7,subord_rate,0.7586818053112095,1.050153619905261e-23,0.40461509583743255,0.32828985876422456
llm,hi,7,func_word_ratio,0.510143135933995,2.653321011042419e-09,0.40461509583743255,0.32828985876422456
llm,hi,7,first_person_rate,0.9941172330467217,9.082510648568492e-116,0.40461509583743255,0.32828985876422456
llm,hi,7,para_count,1.0,0.0,0.40461509583743255,0.32828985876422456
llm,hi,7,para_len_mean,0.9807061561490771,1.6806845265097725e-85,0.40461509583743255,0.32828985876422456
llm,hi,7,question_rate,,,0.40461509583743255,0.32828985876422456
llm,hi,7,connective_rate,0.6899852417786196,2.8773570740304637e-18,0.40461509583743255,0.32828985876422456
llm,hi,7,comma_per_1k,0.8517818232340015,6.373494687530984e-35,0.40461509583743255,0.32828985876422456
llm,hi,7,colon_per_1k,0.998896781592195,1.3465130821707302e-158,0.40461509583743255,0.32828985876422456
llm,hi,7,dash_per_1k,0.740645851263354,4.1129360196498584e-22,0.40461509583743255,0.32828985876422456
llm,hi,7,semicolon_per_1k,0.9479349672822307,1.774223101352793e-60,0.40461509583743255,0.32828985876422456
llm,hi,7,bigram_entropy,0.5596083061323701,3.047965352675747e-11,0.40461509583743255,0.32828985876422456
llm,hi,7,digit_rate,0.9998990148335988,7.51269129615224e-220,0.40461509583743255,0.32828985876422456
llm,ja,5,mattr,0.28226265712896725,0.0017875227167917023,0.4046150958374322,0.25052647041330034
