lang,feature,F,p
ru,burstiness,3.611509587517163,0.00822709602427286
ru,dep_depth,1.7216465191059434,0.14994144994357655
ru,subord_rate,4.29997878305218,0.002804033319959409
ru,func_word_ratio,2.5291504651700496,0.044310981673024406
ru,first_person_rate,0.8250975604793245,0.5117853475872913
ru,para_count,14.9113429381973,7.598922285434061e-10
ru,para_len_mean,16.556970210570164,9.657454834489201e-11
ru,question_rate,0.847443805588322,0.4979758876226248
ru,connective_rate,6.927742882964364,4.942455836632082e-05
ru,comma_per_1k,9.425126644906044,1.2619310583801206e-06
ru,colon_per_1k,10.333968679586972,3.478208377381725e-07
ru,dash_per_1k,5.689188062959289,0.00032529008343526103
ru,semicolon_per_1k,0.8937210913229477,0.47018905087759044
ru,bigram_entropy,4.781803459843945,0.001323371349093258
ru,digit_rate,2.2704925402350162,0.06585654996348901
tr,mattr,0.9942034708041652,0.4137266510297928
tr,hapax_rate,2.303363312278807,0.06263682780055617
tr,mean_token_len,0.16018683833881603,0.9579928111699868
tr,zipf_slope,1.7572522765036318,0.14229307254278845
tr,sent_len_mean,4.384537945989708,0.002457317782699197
tr,sent_len_sd,2.403861199423381,0.05371342751931886
tr,burstiness,2.72454184861248,0.0327734096508187
tr,dep_depth,3.5229022245571753,0.009449823222376405
tr,subord_rate,7.595654512342725,1.820348332367718e-05
tr,func_word_ratio,0.6047947264732096,0.6599584483597556
tr,first_person_rate,1.2829337929016382,0.28080937007399254
tr,para_count,8.31080864269393,6.337315493797269e-06
tr,para_len_mean,7.408944955534465,2.4035865673254234e-05
tr,question_rate,1.1192348900820468,0.3509407776486834
tr,connective_rate,12.59157737126995,1.5736151294255955e-08
tr,comma_per_1k,0.6270423507898669,0.6441608227640403
tr,colon_per_1k,8.265875453266377,6.7686856844711395e-06
tr,dash_per_1k,2.316625112722068,0.06138155400145108
tr,semicolon_per_1k,0.6273005084666766,0.6439783585623733
tr,bigram_entropy,10.273097805801829,3.788839122350758e-07
tr,digit_rate,2.5730506624190137,0.041413814404317156
zh,mattr,14.081343265543392,2.2096115423658284e-09
zh,hapax_rate,6.790817428538349,6.074987259874992e-05
zh,mean_token_len,8.280421668945625,6.625873541691105e-06
zh,zipf_slope,5.157224650218235,0.0007390651455326239
zh,sent_len_mean,1.1965471872154319,0.31616912590693314
zh,sent_len_sd,1.473686808659066,0.21473378640938504
zh,burstiness,0.662494167847115,0.619305082847109
zh,dep_depth,1.6739176013980326,0.16079737430433844
zh,subord_rate,1.2196831118195874,0.3063450813996265
zh,func_word_ratio,8.256394497897325,6.863444035827306e-06
zh,first_person_rate,3.6239439749721916,0.008068646445624949
zh,para_count,0.6320987931438256,0.6405906883476785
zh,para_len_mean,1.025713341798272,0.39712585177801213
