cell_id,model_key,model_served,prompt_id,lang,gen,fk_tier,stance,n_tokens,n_sentences,mattr,hapax_rate,mean_token_len,zipf_slope,sent_len_mean,sent_len_sd,burstiness,dep_depth,subord_rate,func_word_ratio,first_person_rate,para_count,para_len_mean,question_rate,connective_rate,comma_per_1k,colon_per_1k,dash_per_1k,semicolon_per_1k,bigram_entropy,digit_rate
claude|P12|en|1,claude,anthropic/claude-opus-4.7,P12,en,1,expert,for,364,16,0.916,0.6071428571428571,5.739010989010989,-0.4067297080811073,22.75,8.04570278678832,-0.4774788649902147,5.8125,1.375,0.3324175824175824,0.0,4,91.0,0.0,76.92307692307692,82.41758241758242,0.0,2.7472527472527477,0.0,7.620993645934782,2.8063610851262863
claude|P11|en|0,claude,anthropic/claude-opus-4.7,P11,en,0,general,against,358,15,0.8731391585760516,0.505586592178771,5.4748603351955305,-0.4970275930879835,23.866666666666667,8.122866020128141,-0.4921547557660172,6.333333333333333,2.2666666666666666,0.38268156424581,5.58659217877095,5,71.6,0.0,72.62569832402235,55.865921787709496,2.793296089385475,2.793296089385475,0.0,7.613764663409731,0.0
claude|P09|en|0,claude,anthropic/claude-opus-4.7,P09,en,0,expert,for,345,17,0.8824324324324324,0.5826086956521739,5.423188405797101,-0.4419659478827561,20.294117647058822,10.652257424381656,-0.3115667085537059,5.470588235294118,1.4705882352941178,0.391304347826087,0.0,4,86.25,0.0,95.65217391304348,89.85507246376811,2.898550724637681,5.797101449275362,0.0,7.628733108745194,0.0
claude|P11|en|1,claude,anthropic/claude-opus-4.7,P11,en,1,general,against,356,16,0.8920521172638437,0.5646067415730337,5.52808988764045,-0.446821667411943,22.25,7.784600182411426,-0.4816245173811124,6.1875,2.125,0.3764044943820224,16.853932584269664,4,89.0,0.0,78.65168539325843,87.07865168539325,0.0,0.0,5.617977528089888,7.604012346150808,0.0
claude|P02|es|1,claude,anthropic/claude-opus-4.7,P02,es,1,educated,for,359,17,0.8139354838709678,0.4428969359331476,5.690807799442897,-0.559729802490859,21.11764705882353,7.80130079651125,-0.4604713258907781,5.647058823529412,1.1176470588235294,0.4428969359331476,2.785515320334262,6,59.833333333333336,0.0,58.4958217270195,77.99442896935933,8.356545961002785,0.0,0.0,7.397033444775764,2.8776978417266186
claude|P02|es|0,claude,anthropic/claude-opus-4.7,P02,es,0,educated,for,378,20,0.7905775075987843,0.4470899470899471,5.666666666666667,-0.5570674906346915,18.9,11.044884502981937,-0.2623191115075379,5.3,0.55,0.4470899470899471,0.0,10,37.8,0.0,71.42857142857143,68.78306878306879,7.936507936507937,0.0,0.0,7.450847788266677,5.474452554744525
claude|P01|es|1,claude,anthropic/claude-opus-4.7,P01,es,1,general,for,378,16,0.845227963525836,0.5052910052910053,5.264550264550264,-0.5198357508615943,23.625,8.468569340016451,-0.4722575572510558,6.0625,1.625,0.4576719576719577,2.6455026455026456,6,63.0,0.0,68.78306878306879,66.13756613756614,10.582010582010582,0.0,0.0,7.41188269391836,0.0
claude|P03|es|0,claude,anthropic/claude-opus-4.7,P03,es,0,general,against,385,19,0.8385714285714287,0.4207792207792207,5.35064935064935,-0.6004362940772657,20.26315789473684,6.926936995552282,-0.4904808516849847,5.578947368421052,1.4736842105263157,0.4597402597402597,2.5974025974025974,6,64.16666666666667,0.0,77.92207792207792,75.32467532467533,0.0,0.0,0.0,7.302629467907137,0.0
claude|P03|es|1,claude,anthropic/claude-opus-4.7,P03,es,1,general,against,376,18,0.8675840978593272,0.4867021276595745,5.417553191489362,-0.5386153975599534,20.88888888888889,7.895560099261214,-0.4514009906869063,5.555555555555555,1.7222222222222223,0.4654255319148936,5.319148936170213,6,62.66666666666666,0.0,85.1063829787234,61.17021276595744,2.6595744680851063,0.0,0.0,7.363319902377379,0.0
claude|P01|es|0,claude,anthropic/claude-opus-4.7,P01,es,0,general,for,370,16,0.8441744548286605,0.5054054054054054,5.424324324324324,-0.5113075719903556,23.125,9.604686356149273,-0.4130902293633047,5.8125,1.9375,0.4405405405405405,2.702702702702702,6,61.66666666666666,0.0,81.08108108108108,59.45945945945946,8.108108108108109,0.0,2.702702702702702,7.358988189866726,0.0
